iter	RMSE
0	5.156771345
1	4.711394413
2	4.305086852
3	3.933683691
4	3.596621114
5	3.284978645
6	3.008651407
7	2.760965031
8	2.525855582
9	2.31880625
10	2.129245112
11	1.958527799
12	1.792454276
13	1.645440531
14	1.520930356
15	1.394032942
16	1.279098939
17	1.17786198
18	1.085674641
19	0.9990841176
20	0.9219397056
21	0.8534267374
22	0.7843352746
23	0.7227726647
24	0.6678803329
25	0.6191076137
26	0.5799997387
27	0.5369588089
28	0.4989933412
29	0.4687542034
30	0.4389804587
31	0.410508708
32	0.3856474676
33	0.3616244672
34	0.3406886444
35	0.3225145521
36	0.3049327801
37	0.2899912681
38	0.2757060416
39	0.2631383993
40	0.2502571981
41	0.2407635971
42	0.2313779199
43	0.2233053029
44	0.2157867993
45	0.2088257743
46	0.2018715563
47	0.1965262033
48	0.1913987469
49	0.1870986732
50	0.1829348528
51	0.1794063998
52	0.1763253058
53	0.1718562997
54	0.1686756305
55	0.1647602914
56	0.1624288644
57	0.1606196334
58	0.1584383504
59	0.1550660535
60	0.1537596559
61	0.1508628362
62	0.1493652077
63	0.1465299301
64	0.1436415362
65	0.1422012248
66	0.1398349596
67	0.1372496372
68	0.1347675465
69	0.1338662645
70	0.1331781139
71	0.1311308481
72	0.1299647948
73	0.1277167213
74	0.1259397485
75	0.1251649812
76	0.1232690424
77	0.1210075213
78	0.1194192036
79	0.1175384849
80	0.1164091745
81	0.115495521
82	0.1141783581
83	0.1130053403
84	0.1121166619
85	0.1108260287
86	0.1096324929
87	0.1076002885
88	0.1071043085
89	0.1058907415
90	0.1050989134
91	0.1037898267
92	0.103686709
93	0.1026768625
94	0.1015717058
95	0.1014929626
96	0.1014148834
97	0.1004365651
98	0.1003680125
99	0.09866679561
