iter	Passed	Remaining
0	0	21
1	0	20
2	0	19
3	0	22
4	1	20
5	1	19
6	1	19
7	1	18
8	1	17
9	1	17
10	2	17
11	2	16
12	2	15
13	2	15
14	2	15
15	2	14
16	2	14
17	3	14
18	3	14
19	3	13
20	3	13
21	3	13
22	3	13
23	4	12
24	4	12
25	4	12
26	4	12
27	4	11
28	4	11
29	4	11
30	5	11
31	5	11
32	5	11
33	5	10
34	5	10
35	5	10
36	6	10
37	6	10
38	6	10
39	6	9
40	6	9
41	6	9
42	7	9
43	7	9
44	7	8
45	7	8
46	7	8
47	7	8
48	7	8
49	8	8
50	8	7
51	8	7
52	8	7
53	8	7
54	8	7
55	8	7
56	9	6
57	9	6
58	9	6
59	9	6
60	9	6
61	9	6
62	10	5
63	10	5
64	10	5
65	10	5
66	10	5
67	10	5
68	11	4
69	11	4
70	11	4
71	11	4
72	11	4
73	11	4
74	11	3
75	12	3
76	12	3
77	12	3
78	12	3
79	12	3
80	12	3
81	12	2
82	13	2
83	13	2
84	13	2
85	13	2
86	13	2
87	13	1
88	14	1
89	14	1
90	14	1
91	14	1
92	14	1
93	14	0
94	15	0
95	15	0
96	15	0
97	15	0
98	15	0
99	15	0
